###Table full name: BRAZE_USER_EVENT_DEMO_DATASET.PUBLIC.USERS_MESSAGES_PUSHNOTIFICATION_BOUNCE_VIEW
[
    TIMEZONE (Type: TEXT; Sample values: ['Europe/Oslo'])
    CAMPAIGN_API_ID (Type: TEXT; Sample values: ['USh1Anjd5prT5n9'])
    EXTERNAL_USER_ID (Type: TEXT; Sample values: ['AU5srR10v2H'])
    CANVAS_ID (Type: TEXT; Sample values: ['None'])
    SUBSCRIPTION_GROUP_API_ID (Type: TEXT; Sample values: ['hCgSSKR9qSMXxd'])
    CANVAS_STEP_MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['5qAqyBM2d1UPW3'])
    MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['op7GGQvSyhl8OZ'])
    CANVAS_API_ID (Type: TEXT; Sample values: ['None'])
    USER_ID (Type: TEXT; Sample values: ['2nHx9LZ5RtBiXUV'])
    ID (Type: TEXT; Sample values: ['JdZrZr4wjapTwF'])
    APP_GROUP_API_ID (Type: TEXT; Sample values: ['8BMT5qpzBbI2BG'])
    CANVAS_STEP_MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['D08sRHdKtASCie'])
]

--------------------------------------------------

###Table full name: BRAZE_USER_EVENT_DEMO_DATASET.PUBLIC.USERS_MESSAGES_INAPPMESSAGE_CLICK_VIEW
[
    TIMEZONE (Type: TEXT; Sample values: ['America/New_York'])
    MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['0eastvCtgN7VY7'])
    AD_ID (Type: TEXT; Sample values: ['ZAsbs7HwenYZl2'])
    APP_GROUP_ID (Type: TEXT; Sample values: ['JyWFOSKn8bq'])
    CARD_API_ID (Type: TEXT; Sample values: ['ZdTcAxyMVx3jTA'])
    DISPATCH_ID (Type: TEXT; Sample values: ['6QTQB7ak8ghomr'])
    CAMPAIGN_API_ID (Type: TEXT; Sample values: ['JKw2TUyoAScJFxy'])
    CANVAS_VARIATION_ID (Type: TEXT; Sample values: ['None'])
    APP_ID (Type: TEXT; Sample values: ['cavgwlQbKmE'])
    CANVAS_STEP_ID (Type: TEXT; Sample values: ['None'])
    MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['dqAGTt4cOXbkM3p'])
    ID (Type: TEXT; Sample values: ['Vrs5wBkmynaMrL'])
    AD_ID_TYPE (Type: TEXT; Sample values: ['sbZ9eycDfvOhYb'])
    CANVAS_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_STEP_API_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_STEP_MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['tGTrsr6FEKV6OU'])
    USER_ID (Type: TEXT; Sample values: ['0StzR9b3ObtJo5o'])
    CANVAS_VARIATION_API_ID (Type: TEXT; Sample values: ['aWR187MqS3Z4yi'])
    APP_GROUP_API_ID (Type: TEXT; Sample values: ['NDG1KPlLVtnw02'])
    BUTTON_ID (Type: TEXT; Sample values: ['gpvbJmA'])
    DEVICE_ID (Type: TEXT; Sample values: ['lJy2tehMFNUlLK'])
    CAMPAIGN_ID (Type: TEXT; Sample values: ['s7IORbxPWxmZEaE'])
    APP_API_ID (Type: TEXT; Sample values: ['5ibd7I8mOZv9kS'])
    CARD_ID (Type: TEXT; Sample values: ['SpngqR0s4Wpinx'])
    CANVAS_API_ID (Type: TEXT; Sample values: ['None'])
    EXTERNAL_USER_ID (Type: TEXT; Sample values: ['pFeb1RHxvsE'])
    SEND_ID (Type: TEXT; Sample values: ['NfQHyZF3ix8gg6'])
    CANVAS_STEP_MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['IrtQsu2nnFu8zz'])
]

--------------------------------------------------

###Table full name: BRAZE_USER_EVENT_DEMO_DATASET.PUBLIC.USERS_MESSAGES_EMAIL_BOUNCE_VIEW
[
    TIMEZONE (Type: TEXT; Sample values: ['Europe/Oslo'])
    TIME (Type: NUMBER; Sample values: ['1686964670'])
    APP_GROUP_ID (Type: TEXT; Sample values: ['JyWFOSKn8bq'])
    CANVAS_API_ID (Type: TEXT; Sample values: ['None'])
    ID (Type: TEXT; Sample values: ['faTtHD27VhggpJ'])
    DISPATCH_ID (Type: TEXT; Sample values: ['nMtCPaYrLnFg2O'])
    SEND_ID (Type: TEXT; Sample values: ['ikqv7Wvb3TIB9o'])
    CANVAS_STEP_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_STEP_API_ID (Type: TEXT; Sample values: ['None'])
    CAMPAIGN_ID (Type: TEXT; Sample values: ['NvJyOFOoMEcgWF6'])
    USER_ID (Type: TEXT; Sample values: ['0YU9KA1Jl7tS3KY'])
    CAMPAIGN_API_ID (Type: TEXT; Sample values: ['uaJl6gp4x8ousCK'])
    CANVAS_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_VARIATION_ID (Type: TEXT; Sample values: ['None'])
    DEVICE_ID (Type: TEXT; Sample values: ['FrARJBqESJ2625'])
    MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['kMSN2FEzfIqqNa'])
    EXTERNAL_USER_ID (Type: TEXT; Sample values: ['q3l8JADEQ9A'])
    CANVAS_VARIATION_API_ID (Type: TEXT; Sample values: ['0ULNlQcYMBiEAP'])
    APP_GROUP_API_ID (Type: TEXT; Sample values: ['46ORLyVdCo9zsY'])
    CANVAS_STEP_MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['bDO2c5ABY1t2yS'])
    MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['3QXXDEQVrfDTEL7'])
    CANVAS_STEP_MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['lxt1huqRHPqubT'])
]

--------------------------------------------------

###Table full name: BRAZE_USER_EVENT_DEMO_DATASET.PUBLIC.USERS_MESSAGES_SMS_SEND_VIEW
[
    TIMEZONE (Type: TEXT; Sample values: ['Indian/Chagos'])
    TIME (Type: NUMBER; Sample values: ['1657679694'])
    CANVAS_STEP_MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['NrAyewDgO59Vl2'])
    CAMPAIGN_ID (Type: TEXT; Sample values: ['dXG6PLAuKAJv3vK'])
    CAMPAIGN_API_ID (Type: TEXT; Sample values: ['Y6QmS2CYDRnwGg2'])
    SEND_ID (Type: TEXT; Sample values: ['j0TJa4K9shqSeQ'])
    CANVAS_STEP_API_ID (Type: TEXT; Sample values: ['None'])
    USER_ID (Type: TEXT; Sample values: ['1KaT1aZG89ioVVa'])
    CANVAS_ID (Type: TEXT; Sample values: ['None'])
    DEVICE_ID (Type: TEXT; Sample values: ['iyj5F76KNII6Bu'])
    CANVAS_STEP_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_STEP_MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['EDvBBSt1ASVaHM'])
    CANVAS_VARIATION_ID (Type: TEXT; Sample values: ['None'])
    SUBSCRIPTION_GROUP_ID (Type: TEXT; Sample values: ['35FtU9jD0rIWlW'])
    APP_GROUP_ID (Type: TEXT; Sample values: ['JyWFOSKn8bq'])
    ID (Type: TEXT; Sample values: ['IgN96BhTdEdZgv'])
    DISPATCH_ID (Type: TEXT; Sample values: ['8SLcDVkf7woB0T'])
    APP_GROUP_API_ID (Type: TEXT; Sample values: ['CLE5XdV5c8wPB7'])
    CANVAS_VARIATION_API_ID (Type: TEXT; Sample values: ['xHiAxulg7ar4U3'])
    EXTERNAL_USER_ID (Type: TEXT; Sample values: ['Q0SLOMZSvsy'])
    MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['s9E0leDLYGJQWKO'])
    MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['Gxbij15ogspMR8'])
    CANVAS_API_ID (Type: TEXT; Sample values: ['None'])
    SUBSCRIPTION_GROUP_API_ID (Type: TEXT; Sample values: ['c5MVHbJhTc4iJ2'])
]

--------------------------------------------------

###Table full name: BRAZE_USER_EVENT_DEMO_DATASET.PUBLIC.USERS_MESSAGES_WEBHOOK_SEND_VIEW
[
    TIMEZONE (Type: TEXT; Sample values: ['Indian/Chagos'])
    DISPATCH_ID (Type: TEXT; Sample values: ['DHB5mLL5QRyMrC'])
    APP_GROUP_API_ID (Type: TEXT; Sample values: ['q0Hl48YEFsi3w5'])
    MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['sfKXcJuMqQ5SMP'])
    CANVAS_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_STEP_MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['PJd7XDAeZUmdOx'])
    CAMPAIGN_API_ID (Type: TEXT; Sample values: ['1uNqPJtKshygpG6'])
    MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['ruNPRxrWGRYnFNn'])
    CANVAS_STEP_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_VARIATION_API_ID (Type: TEXT; Sample values: ['yJ3LY1HTVmCMs2'])
    USER_ID (Type: TEXT; Sample values: ['3262t9lIXdGmhWr'])
    CANVAS_API_ID (Type: TEXT; Sample values: ['None'])
    ID (Type: TEXT; Sample values: ['wAV0RWxYSvv0Na'])
    CANVAS_VARIATION_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_STEP_MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['1zFZWHAynknOpQ'])
    SEND_ID (Type: TEXT; Sample values: ['GcRxGPAR3Vy0VX'])
    CANVAS_STEP_API_ID (Type: TEXT; Sample values: ['None'])
    APP_GROUP_ID (Type: TEXT; Sample values: ['OkIYT1HbF7u'])
    CAMPAIGN_ID (Type: TEXT; Sample values: ['9Y1QhRiRWyHrk3z'])
    EXTERNAL_USER_ID (Type: TEXT; Sample values: ['dkEgKVQ4NQu'])
    DEVICE_ID (Type: TEXT; Sample values: ['vfF9uNtSrTY2H9'])
]

--------------------------------------------------

###Table full name: BRAZE_USER_EVENT_DEMO_DATASET.PUBLIC.USERS_MESSAGES_SMS_DELIVERY_SHARED_VIEW
[
    TIMEZONE (Type: TEXT; Sample values: ['Asia/Singapore'])
    TIME (Type: NUMBER; Sample values: ['1690656405'])
    APP_GROUP_API_ID (Type: TEXT; Sample values: ['rtIajDAYds4UHB'])
    ID (Type: TEXT; Sample values: ['Rbacieazu3X4Oq'])
    CAMPAIGN_ID (Type: TEXT; Sample values: ['K0blOWyuAtQz5xc'])
    CANVAS_STEP_MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['FQgXTwxjzlHgkg'])
    SEND_ID (Type: TEXT; Sample values: ['TRYBKrqgVzFo9c'])
    CANVAS_STEP_API_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_ID (Type: TEXT; Sample values: ['None'])
    APP_GROUP_ID (Type: TEXT; Sample values: ['JyWFOSKn8bq'])
    CANVAS_VARIATION_API_ID (Type: TEXT; Sample values: ['JVePsMwBQNQO5Q'])
    DEVICE_ID (Type: TEXT; Sample values: ['TLYLIXrkthErNP'])
    CAMPAIGN_API_ID (Type: TEXT; Sample values: ['lHLMryDA4RZG1lQ'])
    MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['JLBJQVVEfC10dT'])
    USER_ID (Type: TEXT; Sample values: ['09Rf6A4UazSxqy5'])
    CANVAS_API_ID (Type: TEXT; Sample values: ['None'])
    EXTERNAL_USER_ID (Type: TEXT; Sample values: ['v3NAxeV3484'])
    SUBSCRIPTION_GROUP_API_ID (Type: TEXT; Sample values: ['fEwI7JemLQQYvZ'])
    DISPATCH_ID (Type: TEXT; Sample values: ['QpzaiBz7nvKdwP'])
]

--------------------------------------------------

###Table full name: BRAZE_USER_EVENT_DEMO_DATASET.PUBLIC.USERS_MESSAGES_EMAIL_UNSUBSCRIBE_VIEW
[
    TIMEZONE (Type: TEXT; Sample values: ['America/Denver'])
    TIME (Type: NUMBER; Sample values: ['1692506477'])
    CANVAS_STEP_API_ID (Type: TEXT; Sample values: ['None'])
    SEND_ID (Type: TEXT; Sample values: ['Cv5digJXVZhLn3'])
    CANVAS_VARIATION_ID (Type: TEXT; Sample values: ['None'])
    DISPATCH_ID (Type: TEXT; Sample values: ['1jMC5hCeguoxjg'])
    CANVAS_VARIATION_API_ID (Type: TEXT; Sample values: ['89AeHuBCfVHSb7'])
    CAMPAIGN_ID (Type: TEXT; Sample values: ['Ddj21be0wjvGSiu'])
    APP_GROUP_ID (Type: TEXT; Sample values: ['JyWFOSKn8bq'])
    DEVICE_ID (Type: TEXT; Sample values: ['SIjSXyiC3JTsnh'])
    EXTERNAL_USER_ID (Type: TEXT; Sample values: ['yd4FxuKxg2W'])
    CANVAS_STEP_MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['Q8HZIC4OFGOFv4'])
    CANVAS_STEP_MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['wzz3a5FLZ8jq2H'])
    MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['3JQl6pQHCAY8fCs'])
    USER_ID (Type: TEXT; Sample values: ['1vfwj68OLOgR9v5'])
    CANVAS_STEP_ID (Type: TEXT; Sample values: ['None'])
    CAMPAIGN_API_ID (Type: TEXT; Sample values: ['P0thJQcCJ8ZcrCZ'])
    APP_GROUP_API_ID (Type: TEXT; Sample values: ['otdaPMs9S4qdia'])
    CANVAS_ID (Type: TEXT; Sample values: ['None'])
    MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['mbKcIMEzQr6XQj'])
    CANVAS_API_ID (Type: TEXT; Sample values: ['None'])
    ID (Type: TEXT; Sample values: ['yrFVowfR9aWNcL'])
]

--------------------------------------------------

###Table full name: BRAZE_USER_EVENT_DEMO_DATASET.PUBLIC.USERS_MESSAGES_EMAIL_CLICK_VIEW
[
    TIMEZONE (Type: TEXT; Sample values: ['Asia/Singapore'])
    TIME (Type: NUMBER; Sample values: ['1683432329'])
    CANVAS_STEP_API_ID (Type: TEXT; Sample values: ['None'])
    DISPATCH_ID (Type: TEXT; Sample values: ['juhTmKWZR0fgSl'])
    CANVAS_VARIATION_API_ID (Type: TEXT; Sample values: ['K7tx9FTXbERu5v'])
    CANVAS_STEP_ID (Type: TEXT; Sample values: ['None'])
    CAMPAIGN_API_ID (Type: TEXT; Sample values: ['z3oz6yWNe7MNdzW'])
    CANVAS_STEP_MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['MJw1FFk8c5Xppl'])
    APP_GROUP_API_ID (Type: TEXT; Sample values: ['NlMPvYxHTBi8eu'])
    ID (Type: TEXT; Sample values: ['juPheEbyPTzqox'])
    LINK_ID (Type: TEXT; Sample values: ['qHSwjSi'])
    MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['e9ZaN78RpDGi8A'])
    CANVAS_API_ID (Type: TEXT; Sample values: ['None'])
    DEVICE_ID (Type: TEXT; Sample values: ['fgRJo27YFjxYji'])
    MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['ulVI638engUkYqB'])
    USER_ID (Type: TEXT; Sample values: ['0xXLak2de8D3IX8'])
    CANVAS_STEP_MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['DdP6lSOS4uIzH4'])
    APP_GROUP_ID (Type: TEXT; Sample values: ['JyWFOSKn8bq'])
    CAMPAIGN_ID (Type: TEXT; Sample values: ['dFIyF90UYhbqxFf'])
    CANVAS_VARIATION_ID (Type: TEXT; Sample values: ['None'])
    SEND_ID (Type: TEXT; Sample values: ['PwAMNzkaVRjinY'])
    CANVAS_ID (Type: TEXT; Sample values: ['None'])
    EXTERNAL_USER_ID (Type: TEXT; Sample values: ['Y6V2NureYLG'])
]

--------------------------------------------------

###Table full name: BRAZE_USER_EVENT_DEMO_DATASET.PUBLIC.USERS_MESSAGES_INAPPMESSAGE_IMPRESSION_VIEW
[
    TIMEZONE (Type: TEXT; Sample values: ['America/Denver'])
    DISPATCH_ID (Type: TEXT; Sample values: ['1vCpZSvaqyikfD'])
    SEND_ID (Type: TEXT; Sample values: ['ZL079EwDu4CPV8'])
    CANVAS_STEP_MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['HjpM9WfKw7JIyA'])
    CAMPAIGN_ID (Type: TEXT; Sample values: ['srMDL3I8AZNb1Zi'])
    CANVAS_VARIATION_ID (Type: TEXT; Sample values: ['None'])
    AD_ID_TYPE (Type: TEXT; Sample values: ['hxKsLl2Rvexjab'])
    DEVICE_ID (Type: TEXT; Sample values: ['9JFsNAwlSZnZDJ'])
    CANVAS_STEP_API_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_API_ID (Type: TEXT; Sample values: ['None'])
    CAMPAIGN_API_ID (Type: TEXT; Sample values: ['kYq0lI83rM4HBoq'])
    CARD_ID (Type: TEXT; Sample values: ['3HJQshvfIiRV64'])
    APP_GROUP_ID (Type: TEXT; Sample values: ['JyWFOSKn8bq'])
    APP_GROUP_API_ID (Type: TEXT; Sample values: ['1B50KroyePRHBV'])
    AD_ID (Type: TEXT; Sample values: ['j6ZFaASdFy4D8Z'])
    APP_API_ID (Type: TEXT; Sample values: ['EcktqTKzpuMf07'])
    CANVAS_VARIATION_API_ID (Type: TEXT; Sample values: ['YW2p1TuPTICU1n'])
    MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['g7tlP1HufyaX8Z9'])
    CANVAS_STEP_ID (Type: TEXT; Sample values: ['None'])
    CARD_API_ID (Type: TEXT; Sample values: ['jwr6EovWzwbiAA'])
    ID (Type: TEXT; Sample values: ['T1MFW5dtQb032X'])
    CANVAS_STEP_MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['VnVpifHObtBpVu'])
    CANVAS_ID (Type: TEXT; Sample values: ['None'])
    MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['CfeJnCn8reolAf'])
    EXTERNAL_USER_ID (Type: TEXT; Sample values: ['5CjTyNrnlqn'])
    APP_ID (Type: TEXT; Sample values: ['cavgwlQbKmE'])
    USER_ID (Type: TEXT; Sample values: ['1chAWiopIwQKL1a'])
]

--------------------------------------------------

###Table full name: BRAZE_USER_EVENT_DEMO_DATASET.PUBLIC.USERS_MESSAGES_SMS_CARRIERSEND_VIEW
[
    TIMEZONE (Type: TEXT; Sample values: ['America/Denver'])
    ID (Type: TEXT; Sample values: ['TTCcfTLfZRf5Ex'])
    CANVAS_STEP_MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['Oei84hiQ5JC6Xn'])
    MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['9dDNg8d1jdyOXHD'])
    SUBSCRIPTION_GROUP_ID (Type: TEXT; Sample values: ['dl63dVhB46Ah0x'])
    CANVAS_VARIATION_ID (Type: TEXT; Sample values: ['None'])
    EXTERNAL_USER_ID (Type: TEXT; Sample values: ['WvZLwmGicC8'])
    CANVAS_VARIATION_API_ID (Type: TEXT; Sample values: ['3TBm1ogo8wgWPQ'])
    MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['ZcKyEJPeI7aQuP'])
    DISPATCH_ID (Type: TEXT; Sample values: ['6ubxXdBJjznVQH'])
    CANVAS_STEP_MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['6rGO2p94d5IO9U'])
    SEND_ID (Type: TEXT; Sample values: ['za7YG8Sx1sPZDf'])
    CAMPAIGN_API_ID (Type: TEXT; Sample values: ['5bORyHfYsJAnqQz'])
    APP_GROUP_API_ID (Type: TEXT; Sample values: ['6bhJ1wckIj8SZI'])
    SUBSCRIPTION_GROUP_API_ID (Type: TEXT; Sample values: ['6eGsTfClBFcsYZ'])
    CAMPAIGN_ID (Type: TEXT; Sample values: ['rbYGUNyvo96qrcW'])
    APP_GROUP_ID (Type: TEXT; Sample values: ['JyWFOSKn8bq'])
    CANVAS_ID (Type: TEXT; Sample values: ['None'])
    USER_ID (Type: TEXT; Sample values: ['0pQ6USSNwuWgM1e'])
    DEVICE_ID (Type: TEXT; Sample values: ['Pf5prWz8QVIVz9'])
    CANVAS_API_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_STEP_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_STEP_API_ID (Type: TEXT; Sample values: ['None'])
]

--------------------------------------------------

###Table full name: BRAZE_USER_EVENT_DEMO_DATASET.PUBLIC.USERS_MESSAGES_SMS_INBOUNDRECEIVE_SHARED_VIEW
[
    TIME (Type: NUMBER; Sample values: ['1674488105'])
    CAMPAIGN_API_ID (Type: TEXT; Sample values: ['VOQ1t5c8Tdly0Xi'])
    APP_GROUP_ID (Type: TEXT; Sample values: ['OkIYT1HbF7u'])
    ID (Type: TEXT; Sample values: ['oPiWj5Cb8u23y7'])
    CANVAS_STEP_MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['lx5CacWxxXVXKt'])
    CAMPAIGN_ID (Type: TEXT; Sample values: ['yxMTs7oUGNHPZHO'])
    USER_ID (Type: TEXT; Sample values: ['0wcBaUxcyu78i5k'])
    EXTERNAL_USER_ID (Type: TEXT; Sample values: ['5dgjbKZV4bP'])
    MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['IT0kj3oROiSU9z'])
    SUBSCRIPTION_GROUP_API_ID (Type: TEXT; Sample values: ['p3L9oJHGkjsEDo'])
    APP_GROUP_API_ID (Type: TEXT; Sample values: ['NDNVmB4pU0xTT9'])
    CANVAS_STEP_API_ID (Type: TEXT; Sample values: ['None'])
    SUBSCRIPTION_GROUP_ID (Type: TEXT; Sample values: ['s424Xou'])
    CANVAS_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_API_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_VARIATION_API_ID (Type: TEXT; Sample values: ['qzwqhswkJmcX12'])
]

--------------------------------------------------

###Table full name: BRAZE_USER_EVENT_DEMO_DATASET.PUBLIC.USERS_MESSAGES_EMAIL_SOFTBOUNCE_VIEW
[
    TIMEZONE (Type: TEXT; Sample values: ['America/Denver'])
    SEND_ID (Type: TEXT; Sample values: ['PVVl0XHz4SRsK2'])
    EXTERNAL_USER_ID (Type: TEXT; Sample values: ['QcYvyuToySy'])
    CANVAS_VARIATION_API_ID (Type: TEXT; Sample values: ['fsrnOc3rQwh04E'])
    DEVICE_ID (Type: TEXT; Sample values: ['VeYqD7DXn2Z6bP'])
    USER_ID (Type: TEXT; Sample values: ['2CMggMto7jg3yuZ'])
    APP_GROUP_API_ID (Type: TEXT; Sample values: ['cWV3floo7mKfsF'])
    CANVAS_STEP_MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['w8PPJW4W7C9hIt'])
    DISPATCH_ID (Type: TEXT; Sample values: ['pEJ6h4UvcFxB6U'])
    CANVAS_STEP_API_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_STEP_ID (Type: TEXT; Sample values: ['None'])
    MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['DLqZKx7Ttfxufe'])
    MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['JRHjBEmz1Zv2ijE'])
    CAMPAIGN_API_ID (Type: TEXT; Sample values: ['lS3v75QvGybZ4H3'])
    APP_GROUP_ID (Type: TEXT; Sample values: ['JyWFOSKn8bq'])
    CANVAS_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_API_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_STEP_MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['pa50dhp79fPVQa'])
    CAMPAIGN_ID (Type: TEXT; Sample values: ['qOh29sa2n2PdDgk'])
    CANVAS_VARIATION_ID (Type: TEXT; Sample values: ['None'])
    ID (Type: TEXT; Sample values: ['XhI3Dfp8R1gjdK'])
]

--------------------------------------------------

###Table full name: BRAZE_USER_EVENT_DEMO_DATASET.PUBLIC.USERS_MESSAGES_EMAIL_SEND_VIEW
[
    TIME (Type: NUMBER; Sample values: ['1647098836'])
    TIMEZONE (Type: TEXT; Sample values: ['America/New_York'])
    CANVAS_VARIATION_API_ID (Type: TEXT; Sample values: ['zFrWnKcfMZZA9w'])
    SEND_ID (Type: TEXT; Sample values: ['8sxoe0At7MgRdU'])
    DISPATCH_ID (Type: TEXT; Sample values: ['gnptfnxCrQ50PR'])
    USER_ID (Type: TEXT; Sample values: ['0pHCMae0DJvh44u'])
    CANVAS_STEP_MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['TMoevyyZouiL1N'])
    CANVAS_STEP_ID (Type: TEXT; Sample values: ['None'])
    CAMPAIGN_ID (Type: TEXT; Sample values: ['VVWaTYmo9pf3M7J'])
    CANVAS_STEP_MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['C9OF3P1mkrWHdA'])
    EXTERNAL_USER_ID (Type: TEXT; Sample values: ['gQhJQBI1uD7'])
    CANVAS_STEP_API_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_VARIATION_ID (Type: TEXT; Sample values: ['None'])
    CAMPAIGN_API_ID (Type: TEXT; Sample values: ['JSVKXz8fFgZfDQH'])
    CANVAS_API_ID (Type: TEXT; Sample values: ['None'])
    DEVICE_ID (Type: TEXT; Sample values: ['pWzDzARzKOlCMi'])
    CANVAS_ID (Type: TEXT; Sample values: ['None'])
    APP_GROUP_ID (Type: TEXT; Sample values: ['JyWFOSKn8bq'])
    ID (Type: TEXT; Sample values: ['ppRgpnRx7bzAkJ'])
    MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['OCvFFlS1gJ6Mzh'])
    APP_GROUP_API_ID (Type: TEXT; Sample values: ['uHrhFXsF0xMs8u'])
    MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['uLmXUiGQhxPN6Ib'])
]

--------------------------------------------------

###Table full name: BRAZE_USER_EVENT_DEMO_DATASET.PUBLIC.USERS_MESSAGES_SMS_DELIVERYFAILURE_VIEW
[
    TIMEZONE (Type: TEXT; Sample values: ['Europe/Oslo'])
    APP_GROUP_API_ID (Type: TEXT; Sample values: ['Eakd5vcHShadl3'])
    DEVICE_ID (Type: TEXT; Sample values: ['pkETikEAYE2LNY'])
    CANVAS_STEP_API_ID (Type: TEXT; Sample values: ['None'])
    EXTERNAL_USER_ID (Type: TEXT; Sample values: ['y3gkTkRnQod'])
    CANVAS_VARIATION_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_STEP_ID (Type: TEXT; Sample values: ['None'])
    MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['kUHnX8PVDsEi0M6'])
    DISPATCH_ID (Type: TEXT; Sample values: ['XaDLLAG4MbswIi'])
    SEND_ID (Type: TEXT; Sample values: ['JIZGXhxfeFbYDa'])
    SUBSCRIPTION_GROUP_ID (Type: TEXT; Sample values: ['UsFQZvtNCMtPKE'])
    CAMPAIGN_API_ID (Type: TEXT; Sample values: ['JTBz0nhEFpNgUgZ'])
    CANVAS_STEP_MESSAGE_VARIATION_ID (Type: TEXT; Sample values: ['aWlOzvUE1HqFuv'])
    USER_ID (Type: TEXT; Sample values: ['1n0CKC6eOHBuTPa'])
    CANVAS_API_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_STEP_MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['XKGxjh7jBe8QDm'])
    ID (Type: TEXT; Sample values: ['pFam8zon5R2JLU'])
    APP_GROUP_ID (Type: TEXT; Sample values: ['JyWFOSKn8bq'])
    PROVIDER_ERROR_CODE (Type: TEXT; Sample values: ['DHVWFOQ'])
    SUBSCRIPTION_GROUP_API_ID (Type: TEXT; Sample values: ['DjBFo9sYc2Lz3q'])
    CANVAS_ID (Type: TEXT; Sample values: ['None'])
    CANVAS_VARIATION_API_ID (Type: TEXT; Sample values: ['ZG72GlBSPSbBKT'])
    MESSAGE_VARIATION_API_ID (Type: TEXT; Sample values: ['3OtCXr5G9rLg2A'])
    CAMPAIGN_ID (Type: TEXT; Sample values: ['sAJnyQMUwgQ5hhy'])
]

--------------------------------------------------


External knowledge that might be helpful: 
# Push Notification Analysis
